,Area,Item Code,Item,Value
1486,Turkmenistan,21057,Average dietary energy requirement (kcal/cap/day),2305.0
1489,Tuvalu,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4626.3
1494,Tuvalu,21057,Average dietary energy requirement (kcal/cap/day),
1497,Uganda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2182.6
1502,Uganda,21057,Average dietary energy requirement (kcal/cap/day),2184.0
1505,Ukraine,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12943.6
1510,Ukraine,21057,Average dietary energy requirement (kcal/cap/day),2481.0
1517,United Arab Emirates,21057,Average dietary energy requirement (kcal/cap/day),2660.0
1520,United Kingdom of Great Britain and Northern Ireland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",45839.2
1525,United Kingdom of Great Britain and Northern Ireland,21057,Average dietary energy requirement (kcal/cap/day),2489.0
1528,United Republic of Tanzania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2669.4
1533,United Republic of Tanzania,21057,Average dietary energy requirement (kcal/cap/day),2147.0
1536,United States of America,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",63069.2
1541,United States of America,21057,Average dietary energy requirement (kcal/cap/day),2547.0
1544,Uruguay,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",22415.4
1549,Uruguay,21057,Average dietary energy requirement (kcal/cap/day),2415.0
1552,Uzbekistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",7734.8
1557,Uzbekistan,21057,Average dietary energy requirement (kcal/cap/day),2371.0
1560,Vanuatu,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2826.5
1565,Vanuatu,21057,Average dietary energy requirement (kcal/cap/day),2177.0
1572,Venezuela (Bolivarian Republic of),21057,Average dietary energy requirement (kcal/cap/day),2355.0
1575,Viet Nam,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",10516.2
1580,Viet Nam,21057,Average dietary energy requirement (kcal/cap/day),2293.0
1587,Yemen,21057,Average dietary energy requirement (kcal/cap/day),2197.0
1590,Zambia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3298.6
1595,Zambia,21057,Average dietary energy requirement (kcal/cap/day),
1598,Zimbabwe,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3495.6
1603,Zimbabwe,21057,Average dietary energy requirement (kcal/cap/day),2252.0
