,Area,Item Code,Item,Value
340,Comoros,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2989.6
345,Comoros,21057,Average dietary energy requirement (kcal/cap/day),
348,Congo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",3292.3
353,Congo,21057,Average dietary energy requirement (kcal/cap/day),2236.0
360,Cook Islands,21057,Average dietary energy requirement (kcal/cap/day),
363,Costa Rica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",21260.8
368,Costa Rica,21057,Average dietary energy requirement (kcal/cap/day),2441.0
371,Côte d'Ivoire,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5406.7
376,Côte d'Ivoire,21057,Average dietary energy requirement (kcal/cap/day),2220.0
379,Croatia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",31046.6
384,Croatia,21057,Average dietary energy requirement (kcal/cap/day),2487.0
391,Cuba,21057,Average dietary energy requirement (kcal/cap/day),2444.0
394,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",40791.4
399,Cyprus,21057,Average dietary energy requirement (kcal/cap/day),2532.0
402,Czechia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",39777.8
407,Czechia,21057,Average dietary energy requirement (kcal/cap/day),2525.0
414,Democratic People's Republic of Korea,21057,Average dietary energy requirement (kcal/cap/day),2400.0
417,Democratic Republic of the Congo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1109.4
422,Democratic Republic of the Congo,21057,Average dietary energy requirement (kcal/cap/day),2124.0
425,Denmark,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",58187.0
430,Denmark,21057,Average dietary energy requirement (kcal/cap/day),2544.0
433,Djibouti,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5394.0
438,Djibouti,21057,Average dietary energy requirement (kcal/cap/day),2422.0
441,Dominica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",10899.3
446,Dominica,21057,Average dietary energy requirement (kcal/cap/day),1885.0
449,Dominican Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",18905.2
454,Dominican Republic,21057,Average dietary energy requirement (kcal/cap/day),2392.0
457,Ecuador,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",10614.6
462,Ecuador,21057,Average dietary energy requirement (kcal/cap/day),2296.0
465,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",12121.2
470,Egypt,21057,Average dietary energy requirement (kcal/cap/day),2322.0
473,El Salvador,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",8801.0
478,El Salvador,21057,Average dietary energy requirement (kcal/cap/day),2284.0
481,Equatorial Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",16500.3
486,Equatorial Guinea,21057,Average dietary energy requirement (kcal/cap/day),2322.0
493,Eritrea,21057,Average dietary energy requirement (kcal/cap/day),2225.0
496,Estonia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",38207.4
501,Estonia,21057,Average dietary energy requirement (kcal/cap/day),2538.0
504,Eswatini,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",8934.9
509,Eswatini,21057,Average dietary energy requirement (kcal/cap/day),2298.0
512,Ethiopia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2366.4
517,Ethiopia,21057,Average dietary energy requirement (kcal/cap/day),2229.0
